id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
7636,"Esta muy bien ya que sus hijos viven al lado.
Sale cada tanto a hacer la compras.
Opina que mejor atienda a personas con mas dificultades. La doy de baja",hijos viven sale compras opina atienda personas dificultades doy baja,POSITIVO,R
7637,Está contenta por la llegada del pedido de alimentos.,contenta llegada pedido alimentos,NECESIDADES OPERATIVAS,NR
7638,"CREVATIN. Llamado 10:30, 11:30 y 12:40hs, sin contestar",crevatin llamado _digit_ _digit_ _digit_ _digit_ _digit_ _digit_hs contestar,NO RELEVANTE,NR
7639,LO LLAME Y LE DEJE EN EL CONTESTADOR A LAS 17:25HS,llame deje contestador _digit_ _digit_hs,NO RELEVANTE,NR
7640,Se encuentra bien,,POSITIVO,R
7641,"SE ENVÍO MAIL A MEDICACION2020 SOLICITANDO LA RECETA QUE EL AM MENDEZ ALBERTO NECESITA PARA EL MEDICAMENTO MICARDIS AMLO (ANTIHIPERTENSIVO DE LABORATORIOS BOHERINGER)

LO CONSIGUIERON DE FORMA PARTICULAR",envio mail medicacion_digit_ solicitando receta am mendez alberto necesita medicamento micardis amlo antihipertensivo laboratorios boheringer consiguieron forma particular,NECESIDADES OPERATIVAS,NR
7642,Hablamos de los.medicamentos que necesita.pedir en pami.,hablamos medicamentos necesita pedir pami,NECESIDADES OPERATIVAS,NR
7643,"JOSE ESTA BIEN , CON BUEN ANIMO, CONTENTO CON SU HIJO QUE ESTA MEJORANDO DE A POQUITO",animo contento hijo mejorando poquito,POSITIVO,R
7644,"TODO EN ORDEN - YA RECIBIERON TABLET, MUY CONTENTOS",orden - recibieron tablet contentos,NECESIDADES OPERATIVAS,NR
7645,se hablo con el marido esta todo en absoluta calma segun el,hablo marido absoluta calma,POSITIVO,R
7646,no contesta,contesta,NO RELEVANTE,NR
7647,"La  Sra dice estar bien, no surgio ningun cambio, continua estable, bien de animo y de salud",surgio cambio continua estable animo salud,POSITIVO,R
7648,"Hablamos brevemente porque estaban jugando a las cartas, el ánimo bien, aunque se le está haciendo largo. Le pregunto si hay algo que necesite y prometo llamarla en otro momento y que se ponga a jugar (no tienen wifi ni electrónicos, se entretienen con las cartas)",hablamos brevemente jugando cartas animo pregunto necesite prometo llamarla ponga jugar wifi electronicos entretienen cartas,POSITIVO,R
7649,Se realiza la derivación correspondiente para envío de alimentos a domicilio,realiza derivacion correspondiente envio alimentos domicilio,NECESIDADES OPERATIVAS,NR
7650,"llame hable con el marido, le conté que me daba de baja  y me dijo que como están acompañados que otro voluntario se comunique con otra persona que lo necesite.",llame hable marido conte daba baja acompanados voluntario comunique persona necesite,NO RELEVANTE,NR
7651,"Fue una charla agradable, pero no tiene interés en los talleres virtuales.",charla agradable interes talleres virtuales,POSITIVO,R
7652,Sin novedad,novedad,NO RELEVANTE,NR
7653,Mantenemos mensajes a través de Whatsapp.,mantenemos mensajes whatsapp,NO RELEVANTE,NR
7654,"Llame al celular  no me atendió nadie, inmediatamente llame al número de línea y se escucha un mensaje de que no existe la característica solicitada reintentar y salta el mismo mensaje, todos los llamados realizados entre las 11:13 hs  y 11 :15 hs.",llame celular atendio inmediatamente llame numero linea escucha mensaje caracteristica solicitada reintentar salta mensaje llamados realizados _digit_ _digit_ hs _digit_ _digit_ hs,NO RELEVANTE,NR
7655,"Estimada: según el nuevo protocolo enviado, se deberán canalizar todas las solicitudes llamando al 147. Gracias y saludos!",estimada protocolo enviado deberan canalizar solicitudes llamando _digit_ saludos,NO RELEVANTE,NR
7656,"Animada,su esposo se encuantra mejorando,pero dolorido",animada esposo encuantra mejorando dolorido,NEGATIVO,R
7657,La llame para informarle que le llevarian la bolsa de alimentos. Como me pidieron.,llame informarle llevarian bolsa alimentos pidieron,NECESIDADES OPERATIVAS,NR
7658,"Salta el contestador, le deje un mensaje para que se cuide de los próximos fríos, insisto mañana.",salta contestador deje mensaje cuide frios insisto manana,NO RELEVANTE,NR
7659,"29/06- ANGELA UN POCO MEJOR DEL DOLOR.
30/06- ANGELA MUCHO MEJOR MAS ANIMADA, ESTABA AMAZANDO PAN",_digit_ _digit_- angela dolor _digit_ _digit_- angela animada amazando pan,NEGATIVO,R
7660,"Atendió el hijo, esta bien, le hice llegar mi saludos por su cumpleaños num. 85 y agradece muy contenta.",atendio hijo hice llegar saludos cumpleanos num _digit_ agradece contenta,POSITIVO,R
7661,"Llamado del 1/6 me atendió Marita, su hermana. Dicen no necesitar nada.",llamado _digit_ _digit_ atendio marita hermana necesitar,NO RELEVANTE,NR
7662,Sin novedad,novedad,NO RELEVANTE,NR
7663,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
7664,"Esta bien, contenta porque hace menos frío y se siente mejor, muy buena charla y agradecida por el llamado.",contenta frio siente charla agradecida llamado,POSITIVO,R
7665,"Me atiende la hija, dice que Victoria salió. Cuando estamos por finalizar la llamada llega Victoria y la hija le pasa el teléfono pero cuando hablan entre ellas no se la escucha con ganas a Victoria, me atiende pero no muy receptiva. Le digo que la llamo más tarde. // Llamo nuevamente más tarde, atiende un chico y cuando me va a pasar con Victoria, escucho que ella dice ""otra vez Micaela?"" -Me atiende, suena algo molesta, le pregunto con qué frecuencia le parece que la llame, me dice que una vez por semana está bien. Le menciono la encuesta y me dice que la semana que viene me responde.",atiende hija victoria salio finalizar llamada llega victoria hija pasa telefono escucha ganas victoria atiende receptiva digo llamo llamo nuevamente atiende chico pasar victoria escucho micaela -me atiende suena molesta pregunto frecuencia llame semana encuesta semana viene responde,NEUTRAL,NR
7666,"Hablo con AM. Hacemos la encuesta, me cuenta sobre las actividades que hacía de joven (planeación) y sobre cómo viene llevando la cuarentena. No tiene necesidades, quedamos en hablar en una semana",hablo am encuesta actividades joven planeacion viene llevando cuarentena necesidades quedamos hablar semana,NEUTRAL,NR
7667,"Tanto Matilde como Pablo necesitan hacer compras urgentes. Para ello deben trasladarse a Munro (compra de zapatos para Pablo, anda con loas dedos afuera, ver si puede arreglar el celular que le regalé, conseguir un repuesto del lavarropas que no le funciones, etc) No tienen posibilidades de pedir el permiso, no los puedo ayudar porque tampoco puedo salir, no poseen ningún aparato electrónico como para pasarles la autorización y puedan demostrar que están autorizados.  Como Pablo es discapacitado y debe ir acompañado, no creo que tengan problemas para viajar en colectivo",matilde pablo necesitan compras urgentes trasladarse munro compra zapatos pablo anda loas dedos afuera arreglar celular regale repuesto lavarropas funciones posibilidades pedir permiso ayudar salir poseen aparato electronico pasarles autorizacion puedan demostrar autorizados pablo discapacitado acompanado problemas viajar colectivo,NECESIDADES OPERATIVAS,NR
7668,La Sra. se encuentra bien. Consulta por la posibilidad de conseguir unos remedios para ella y su marido. Se informa que se enviará la consulta y me volveré a comunicar cuando tenga respuesta.,consulta posibilidad remedios marido informa enviara consulta volvere comunicar respuesta,NECESIDADES OPERATIVAS,NR
7669,"Charlamos un rato, se encuentra bien.",charlamos rato,POSITIVO,R
7670,"Marta se mantiene en contacto con sus famiares y amigos, se encuentra bien de ánimo y ocupada con el tejido de bufandas. Su hijo, Damián realiza las compras con lo cual no me solicitó ningún pedido.",mantiene contacto famiares amigos animo ocupada tejido bufandas hijo realiza compras solicito pedido,POSITIVO,R
7671,"por el momento sigue todo bien, no necesita nada",necesita,POSITIVO,R
7672,"Maria Eva esta haciendo una lasaña casera para que coman a la noche con sus hermanos.
Su hermana estaba siendo atendida por su medico de cabecera, por que le dolia la cabeza hace mas de 5 dias.",eva lasana casera coman noche hermanos hermana atendida medico cabecera dolia cabeza _digit_,NEUTRAL,NR
7673,Se encuentra bien.,,POSITIVO,R
7674,bien de ánimo,animo,POSITIVO,R
7675,Requiere llamados semanales para ver si puede llegar a necesitar algo.,requiere llamados semanales llegar necesitar,NEUTRAL,NR
7676,Todavía si buscar los alimentos ni se vacuno tampoco. Quedé en everiguar en el 130 para ver cómo estaba su situación para cobrar la jubilación.,buscar alimentos vacuno quede everiguar _digit_ situacion cobrar jubilacion,NECESIDADES OPERATIVAS,NR
7677,Aún no le llevaron los alimentos,llevaron alimentos,NECESIDADES OPERATIVAS,NR
7678,Sin novedad,novedad,NO RELEVANTE,NR
7679,"EN EL DIA DE LA FECHA Y DE ACUERDO A LO CONVENIDO, HE TOMADO CONTACTO CON LA FAMILA DEL SR. AVILA, QUIEN CONTINUA  EVOLUCIONANDO. YA HAN CONSEGUIDO LA INTERNACION  DOMICILIARIA POR PAMI, OBTENIENDO CAMA ORTOPEDICA, KINESIOLOGO Y ENFERMERA.  REQUIERIENDO EN EL PRESENTE ALGUN ASISTENTE PARA MOVILIZARLO AL VESTIRLO ETC. YA FUE SOLICITADO A PAMI.  
ACORDAMOS QUE LO LLAMARE UNA VEZ POR SEMANA PARA PODER MONITOREARLOS POR SI REQUIEREN ALGUNA ASISTENCIA PARTICULAR POR PARTE DEL MUNICIPIO.",fecha acuerdo convenido tomado contacto famila sr avila continua evolucionando conseguido internacion domiciliaria pami obteniendo cama ortopedica kinesiologo enfermera requieriendo presente asistente movilizarlo vestirlo solicitado pami acordamos llamare semana monitorearlos requieren asistencia particular municipio,NECESIDADES OPERATIVAS,NR
7680,SOLICITO CAJA DE ALIMENTOS PARA BRIZIO.,solicito caja alimentos brizio,NECESIDADES OPERATIVAS,NR
7681,"20/08- ANGELA BIEN SIN GANAS DE HACER NADA ESTA CANSADA DEL AISLAMIENTO.
21/08- ANGELA BIEN SALIO A COMPRAR FRUTAS Y VERDURAS",_digit_ _digit_- angela ganas cansada aislamiento _digit_ _digit_- angela salio comprar frutas verduras,NEGATIVO,R
7682,"La AM fue informada de la eximición de ABL para jubilados ,pensionados, personas con discapacidad y ex combatientes .la AM se encuentra en buen estado general.saludos",am informada eximicion abl jubilados pensionados personas discapacidad combatientes am saludos,POSITIVO,R
7683,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
7684,PRUEBA,prueba,NO RELEVANTE,NR
7685,se hablo con Mario un  rato extenso se lo escuchaba muy bien y esta con Beatriz,hablo rato extenso escuchaba,POSITIVO,R
7686,"Irene se encuentra muy bien, solo hablamos para saber si necesita algo con urgencia..
ella esta de muy buen animo",irene hablamos necesita urgencia animo,POSITIVO,R
7687,RESPONDIO EL LLAMADO POR EL MOMENTO NO NECESITA NADA,respondio llamado necesita,NEUTRAL,NR
7688,"Teléfono incompleto , enviare mail a voluntarios informando .",telefono incompleto enviare mail voluntarios informando,NO RELEVANTE,NR
7689,"Esta muy bien, solicita caja de productos de limpieza.",solicita caja productos limpieza,NECESIDADES OPERATIVAS,NR
7690,"está bien, cumple años el 18/7. tiene altibajos emocionales",cumple anos _digit_ _digit_ altibajos emocionales,NEGATIVO,R
7691,"todo bien, preocupada por el tema economico",preocupada tema economico,NEGATIVO,R
7692,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
7693,Me comuniqué con la esposa y me indicó que el Sr. Cipriano había fallecido.,comunique esposa sr fallecido,NEGATIVO,R
7694,"sigue trabajando en el geriatrico...instituto 9 de julio en san telmo
tiene auto y va al centro directo",trabajando geriatrico instituto _digit_ julio san auto centro directo,NEUTRAL,NR
7695,"Ayer hablé con ella, está con fiebre, en aislamiento, no tiene nadie que la asista, hace más de 20 días que no recibe los alimentos y están viendo la posibilidad de hacerle un hisopado. Necesito URGENTE que envíen el bolsón de comida, no puede seguir esperando que corroboren que efectivamente no se l entregaron. Es una persona honesta, en una oportunidad fueron dos veces a llevárselo y la segunda entrega la rechazó porque no le correspondía. Creo que deberían aceptar su reclamo urgente",hable fiebre aislamiento asista _digit_ recibe alimentos viendo posibilidad hacerle hisopado necesito urgente envien bolson comida seguir esperando corroboren efectivamente entregaron persona honesta oportunidad llevarselo entrega rechazo correspondia deberian aceptar reclamo urgente,NECESIDADES OPERATIVAS,NR
7696,Hoy está mucho mejor de animo. Ella y su esposo se encuentran bien,animo esposo encuentran,POSITIVO,R
7697,"Hoy me atendió la nieta Natalia que vive en Urquiza y vino a visitarla a tomar el Te  con Mabel,hablamos un ratito porque la conozco del barrio, luego Habel con Mabel y me dijo que estaba bien con su tratamiento consiguio los medicamentos, y que se estaba cuidando mucho y que se sentía acompañada.",atendio nieta vive urquiza vino visitarla tomar hablamos ratito conozco barrio habel tratamiento consiguio medicamentos cuidando sentia acompanada,NEUTRAL,NR
7698,todo bien,,POSITIVO,R
7699,"Hablé con Lidia, todo ok",hable ok,POSITIVO,R
7700,"Hablamos de la caja de alimentos, tablet etc.",hablamos caja alimentos tablet,NECESIDADES OPERATIVAS,NR
7701,"Llamo a AM, me indica que el cuenta con los medios para realizar las compras, y le brindo información en cuanto al bolsón de alimentos y en cuanto a las vacunas. Agradece por la atención, pero no requiere la asistencia.",llamo am indica medios compras brindo informacion bolson alimentos vacunas agradece atencion requiere asistencia,NO RELEVANTE,NR
7702,Leticia se encuentra bien. Tiene muchas ganas de ir a misa o visitar una iglesia.,ganas misa visitar iglesia,POSITIVO,R
7703,"Se le traslado la información recibida a  la vecina asignada (AM) y se manifestó muy agradecida. En el transcurso del día 12 de Mayo se dirigiría a retirar la ayuda alimenticia al lugar correspondiente e informado.
Saludos...Emiliano.",traslado informacion recibida vecina asignada am agradecida transcurso _digit_ mayo dirigiria retirar ayuda alimenticia correspondiente informado saludos,NECESIDADES OPERATIVAS,NR
7704,"karina francinetti
tambien el esposo necesita medicacion: se llama Ojeda Carlos Alberto
salita scalise de villa adelina: esta su historia clinica ahi
le falta medicación:
cardivelol de 25mg
losartam de 50mg
rantidinia de 150mg
para el colesterol: Rosubastina de 10mg
Meformina de 1000mg por comida",francinetti esposo necesita medicacion llama ojeda carlos alberto salita scalise villa historia clinica falta medicacion cardivelol _digit_mg losartam _digit_mg rantidinia _digit_mg colesterol rosubastina _digit_mg meformina _digit_mg comida,NECESIDADES OPERATIVAS,NR
7705,No podia hablar.,podia hablar,NO RELEVANTE,NR
7706,No me atendieron,atendieron,NO RELEVANTE,NR
7707,Están muy bien Celina y su marido Tomás. Se ayudó a resolver con el área de Hacienda de la Municipalidad el pago de patente del auto que se municipalizó este año y no podía abonar.,marido ayudo resolver area hacienda municipalidad pago patente auto municipalizo ano podia abonar,POSITIVO,R
7708,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
7709,EL 07/08/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
7710,se encuentran bien haciendo cosas en la casa para entretenerce cumunicandoce con sus hijos y contenidos,encuentran casa entretenerce cumunicandoce hijos contenidos,POSITIVO,R
7711,"Le informe lo que me dijeron en desarrollo social, sobre el tem alimentos. Me dijeron que le vaya a retirar el día que le corresponde porque la entrega domiciliaria a veces demora 30 días en vez de 20 y que cuando se la retire avise que ya la emtregué.",informe desarrollo social alimentos retirar corresponde entrega domiciliaria demora _digit_ _digit_ retire avise emtregue,NECESIDADES OPERATIVAS,NR
7712,7 de junio.esta bien.Se está viendo con los hijos.Se turnan para ir una vez por semana Está muy animada.,_digit_ junio viendo hijos turnan semana animada,POSITIVO,R
7713,"les es necesario alimentos,por lo que yo solicite la entrega de alimentos en domicilio .",necesario alimentos solicite entrega alimentos domicilio,NECESIDADES OPERATIVAS,NR
7714,"La Señora Beatríz Dib se encuentra bien.
Hoy recibió la caja de alimento. También le pude hacer un trámite  de  AYSA desde mi casa ya que la Sra Beatríz no cuenta con Internet.",senora dib recibio caja alimento pude tramite aysa casa internet,NECESIDADES OPERATIVAS,NR
7715,SE ENTREGO ALIMENTOS EN DOMICILIO EL 31/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7716,Sin novedad,novedad,NO RELEVANTE,NR
7717,"Todo bien, quiso consultar si dan prestamos o ayuda económica para arreglar la pc.",quiso consultar prestamos ayuda economica arreglar pc,NECESIDADES OPERATIVAS,NR
7718,se pidio caja de alimentos,pidio caja alimentos,NECESIDADES OPERATIVAS,NR
7719,se encuentran bien,encuentran,POSITIVO,R
7720,Jobina está muy bien y cuidándose,cuidandose,POSITIVO,R
7721,La Sra. Olga esta muy agradecida con los talleres y el apoyo brindado por el municipio,agradecida talleres apoyo brindado municipio,POSITIVO,R
7722,"sin problema, acompañada con la hija, no necesita nada por el momento",problema acompanada hija necesita,NEUTRAL,NR
7723,Hable con su hija Gabriela me dijo que estaba estabilizada su situación que por el momento con una dieta controlada iban dilatar esos estidios complejos para mas adelante...Asique se encuentra bien mas animada a cumplir con la dieta saludable para evitar procedimientos invasivos por el momento....,hable hija estabilizada situacion dieta controlada iban dilatar estidios complejos asique animada cumplir dieta saludable evitar procedimientos invasivos,POSITIVO,R
7724,Respuesta vía Mail: orientación con respecto al trámite de ABL e información de diversos temas que pueden ser de utilidad,respuesta via mail orientacion tramite abl informacion diversos temas utilidad,NECESIDADES OPERATIVAS,NR
7725,Sin novedad,novedad,NO RELEVANTE,NR
7726,"BUERO, llamado 10:30,  11:15 y 12:40, sin contestar.",buero llamado _digit_ _digit_ _digit_ _digit_ _digit_ _digit_ contestar,NO RELEVANTE,NR
7727,Se derivó al LIC RODRIGUEZ CARLOS el proceso de apoyo Psicológico,derivo lic rodriguez carlos apoyo psicologico,NECESIDADES OPERATIVAS,NR
7728,"Con la señora Zulema se mantiene un diálogo una o dos veces por semana, tanto ella como su esposo están contenidos por su núcleo familiar, los inconvenientes de salud, propios de la edad son evacuados por el médico de cabecera y es su hija quién la acompaña...el matrimonio no presenta ninguna anomalía, se continuará con el vínculo....",senora zulema mantiene dialogo semana esposo contenidos nucleo familiar inconvenientes salud edad evacuados medico cabecera hija acompana matrimonio presenta anomalia continuara vinculo,NEUTRAL,NR
7729,"---Llamo a PAMI al 138. Operadora me indica que no ve cargada la renovación del módulo domiciliario. Genera reclamo para aplicar renovación automática. Nro reclamo 2244109.
---Llamo a PARARED y me informan que la renovación de la internación domiciliaria está pendiente en el caso de la AM, es decir que ya se están encargargando de que esté todo listo, no habrá problema.
---Logro hablar con Eva, la ayudo a tramitar permiso de circulación online. 
---Llamo a la AM, le informo que al parecer hoy ya estará disponible el permiso para Eva y si todo sale bien esta semana ya podrá ir a ayudarla. La AM está muy agradecida, por otro lado me pide si puedo averiguar en PAMI por el colchón antiescaras que no le entregaron todavía. 
---Llamo a PAMI y me confirman que no es un colchón sino que es un almohadón, que ya fue reclamado el 10/6 y la AM lo recibirá en la próxima entrega que hagan ellos.",---llamo pami _digit_ operadora indica ve cargada renovacion modulo domiciliario genera reclamo aplicar renovacion automatica nro reclamo _digit_ ---llamo parared informan renovacion internacion domiciliaria pendiente caso am encargargando listo problema ---logro hablar eva ayudo tramitar permiso circulacion online ---llamo am parecer disponible permiso eva sale semana ayudarla am agradecida pide averiguar pami colchon antiescaras entregaron ---llamo pami confirman colchon almohadon reclamado _digit_ _digit_ am recibira proxima entrega,NECESIDADES OPERATIVAS,NR
7730,Le comente que ella figuraba que se le habia entregado el 23/7 asi que en la semana que viene ya le correspondia la siguiente entrega.,comente figuraba entregado _digit_ _digit_ semana viene correspondia entrega,NECESIDADES OPERATIVAS,NR
7731,"La alerté sobre falsas visitas, para revisar por Covid 19.",alerte falsas visitas revisar covid _digit_,NEUTRAL,NR
7732,"Llamo a AM a 47110230, pero sin respuesta alguna. Llamo a numero adicional 1565053890, me atiende AM y le comento acerca del programa de asistencias. Me indica que a ella la asiste su hija y su yerno, por lo tanto no requiere la asistencia. También informa que ella sale a hacer algunas compras, pero no sale muy seguido. Me comenta que ya se dio la vacuna contra la gripe, le comento como proceder en caso que se tenga que dar otra vacuna, agradece por la atención y finaliza la llamada.",llamo am _digit_ respuesta llamo numero adicional _digit_ atiende am acerca programa asistencias indica asiste hija yerno requiere asistencia informa sale compras sale seguido comenta vacuna gripe proceder caso vacuna agradece atencion finaliza llamada,NEUTRAL,NR
7733,"se encontraba bien trabajando, en aprovechando el dia de sol",encontraba trabajando aprovechando sol,POSITIVO,R
7734,"Sigue sin respuesta el llamado, salta el contestador con la casilla completa.",respuesta llamado salta contestador casilla completa,NO RELEVANTE,NR
7735,"El Sr. estaba ayer de cumpleaños, por eso no contesto. El me llamo mas tarde porque escucho el mensaje. (  Sr. muy amable y agradecido de la gestión)
Quedo en llamarme  hoy por la tarde mas tranquilo  . Si no lo hace lo haré yo.",sr cumpleanos contesto llamo escucho mensaje sr agradecido gestion llamarme tranquilo hare,NEUTRAL,NR
7736,"25/05/20 - 4to día intentando comunicarme con AM al 4795-9923, pero N/A x2. Doy de baja AM.",_digit_ _digit_ _digit_ - _digit_to intentando comunicarme am _digit_-_digit_ x_digit_ doy baja am,NO RELEVANTE,NR
7737,"Llamado para ver como estaba y avisarle que ya no voy a seguir llamandola mas.
Esta muy bien por suerte!",llamado avisarle seguir llamandola suerte,POSITIVO,R
7738,vamos a participar juntas de un taller virtual.,participar juntas taller virtual,NECESIDADES OPERATIVAS,NR
7739,14/7/20 - completo la encuesta y volveremos a charlar la proxima semana,_digit_ _digit_ _digit_ - completo encuesta volveremos charlar proxima semana,NO RELEVANTE,NR
7740,La Señora Ana Slaukin y su marido Guido se encuentran bien.,senora ana slaukin marido guido encuentran,POSITIVO,R
7741,Se encuentra bien.,,POSITIVO,R
7742,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
7743,Ya me despedí de esta familia como voluntaria. Continuaremos la excelente relación que tenemos y saben que pueden contar siempre conmigo,despedi familia voluntaria continuaremos excelente relacion contar,NO RELEVANTE,NR
7744,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
7745,"Llamada al 4799-8255, me indica que está siendo acompañada por la hija, que ahora no precisa de ninguna ayuda. Agradece el llamado.",llamada _digit_-_digit_ indica acompanada hija precisa ayuda agradece llamado,NO RELEVANTE,NR
7746,"Realizamos la derivación correspondiente para el envío de alimentos a domicilio. A la brevedad, se estarán comunicando para coordinar la entrega. Saludos!",realizamos derivacion correspondiente envio alimentos domicilio brevedad comunicando coordinar entrega saludos,NECESIDADES OPERATIVAS,NR
7747,Se encuentra bien.,,POSITIVO,R
7748,"La Señora Flores Inés se encuentra muy bien.
El viernes recibió el bolsón de alimento.",senora flores viernes recibio bolson alimento,NECESIDADES OPERATIVAS,NR
7749,llamado,llamado,NO RELEVANTE,NR
7750,"Se conversa semanalmente con la señora Margarita, ella es correcta y locuaz  , vive con su esposo y una hija con su familia , salen muy poco dado q los familiares tratan  de ayudarlos siempre. Si bien la cuarentena se alarga ella considera q hasta septiembre va a salir poco para así cuidarse del frío...las llamadas serán siendo semanales si todo sigue así...",conversa semanalmente senora margarita correcta locuaz vive esposo hija familia salen familiares tratan ayudarlos cuarentena alarga septiembre salir cuidarse frio llamadas semanales,NEUTRAL,NR
7751,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
7752,Charlamos de las vacunas.de alimentos etc.,charlamos vacunas alimentos,NECESIDADES OPERATIVAS,NR
7753,Sin novedad,novedad,NO RELEVANTE,NR
7754,no se encuentra,,NO RELEVANTE,NR
7755,"Refiere estar   resignada a esta situacion, no expresa ninguna necesidad, dice que sale de vez en cuando a realizar compras a 3 cuadras no mas
Tranquila en general",refiere resignada situacion expresa necesidad sale compras _digit_ cuadras tranquila,NEGATIVO,R
7756,no contesta,contesta,NO RELEVANTE,NR
7757,"
SE ENTREGO MATERIAL COGNITIVO 2 EN DOMICILIO 21/08/2020",entrego material cognitivo _digit_ domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7758,hoy hable con aida para informarle que la va a estar llamando la psicóloga que ella solicito,hable informarle llamando psicologa solicito,NECESIDADES OPERATIVAS,NR
7759,Sin novedad,novedad,NO RELEVANTE,NR
7760,"ANGELA BIEN, HOY FUE HACER LAS COMPRAS DEL MES",angela compras mes,POSITIVO,R
7761,"Es el 2do día que la llamo y no obtengo respuesta, le envié un mensaje para contarle quien era y decirle que si tenía algún horario para que la llame y le comente",_digit_do llamo obtengo respuesta envie mensaje contarle decirle horario llame comente,NO RELEVANTE,NR
7762,DE ENTREGO ALIMENTOS EN DOMICILIO EL DIA 14/08/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7763,Le realicé la encuesta,realice encuesta,NO RELEVANTE,NR
7764,-,-,NO RELEVANTE,NR
7765,"Buenas tardes. Hablamos del estado de salud de su familia y como están siendo mas precavidos .Verifique los datos de ella así la semana que viene va a retirar la caja de alimentos. y le comente sobre las dudas que tenia acerca del retiro dela caja de su hijo.
Muchas gracias",tardes hablamos salud familia precavidos verifique datos semana viene retirar caja alimentos comente dudas acerca retiro dela caja hijo,NECESIDADES OPERATIVAS,NR
7766,Ninguna,,NO RELEVANTE,NR
7767,Se encuentra bien,,POSITIVO,R
7768,"Me atendió, pero me dijo que no le interesa, que está acompañada!",atendio interesa acompanada,NO RELEVANTE,NR
7769,Sin novedad,novedad,NO RELEVANTE,NR
7770,"Charlamos un rato, me contó que estaba bien y que el va a ir a buscar los alimentos el día 24/7. Todavía no puede participar de las videollamadas xq no tiene celular.",charlamos rato conto buscar alimentos _digit_ _digit_ participar videollamadas xq celular,NECESIDADES OPERATIVAS,NR
7771,"Se entretiene con su nieta, la única situación que la pone mal es el encierro dentro de la casa.
Fue una semana normal, sin complicaciones. Todo muy aburrido. Pero dice que a los chicos les sirve porque hacen  tareas mas ahora que antes.
Necesidades adicionales de salud, alimentos, medicación, violencia: no refiere.-",entretiene nieta unica situacion pone encierro casa semana normal complicaciones aburrido chicos sirve tareas necesidades adicionales salud alimentos medicacion violencia refiere -,NEGATIVO,R
7772,Se encuentra bien pero necesita trabajar ya que no tiene ningún ingreso. Recibió un bolsón de comida de Cáritas.,necesita trabajar ingreso recibio bolson comida caritas,NECESIDADES OPERATIVAS,NR
7773,"Llame al teléfono de línea, para avisarle que la caja le llega a las 14hrs. Me comento que la llamaron diciendo mi nombre que estaban en otra dirección. Averiguar.",llame telefono linea avisarle caja llega _digit_hrs llamaron diciendo nombre direccion averiguar,NECESIDADES OPERATIVAS,NR
7774,"Estos días hablamos con Elsa por wtts, esta muy ansiosa con el nacimiento de su nieto, en estos días (esta semana ya nace).
El domingo fue mi cumpleaños y estuvimos hablando.
También me agradeció por los alimentos.",hablamos wtts ansiosa nacimiento nieto semana nace domingo cumpleanos hablando agradecio alimentos,NECESIDADES OPERATIVAS,NR
7775,"Ayer Alicia me expresó que la psicóloga no la estaba llamando.Huy me comuniqué con Mariana, la coordinadora y la llamara para que le hable. Está muy angustiada por el comportamiento de Pablo. Hoy se levantó de muy buen humos y le pidió perdón por el mal día que ayer, dijo que fue muy angustiante (no dijo el por qué) Lo bueno es que lo reconoció y esperemos que cumpla esta vez.",alicia psicologa llamando huy comunique coordinadora llamara hable angustiada comportamiento pablo levanto humos pidio perdon angustiante reconocio esperemos cumpla,NECESIDADES OPERATIVAS,NR
7776,"Hablamos ayer con Alfredo y me comunicó sobre el fallecimiento de su esposa Dolores, quien no estaba bien de salud desde hace un tiempo. La internaron en la semana y no pudo acompañarla por el aislamiento. Estaba muy triste pero con fuerzas para salir adelante. Voy a seguir en contacto para acompañarlo en este díficil momento.",hablamos alfredo comunico fallecimiento esposa dolores salud internaron semana acompanarla aislamiento triste fuerzas salir seguir contacto acompanarlo dificil,NEGATIVO,R
7777,Me comentó que no necesitaría ayuda por el momento y que prefería que no la contacte ya que tenia sus necesidades básicas cubiertas.,necesitaria ayuda preferia contacte necesidades basicas cubiertas,NEUTRAL,NR
