etiqueta1,etiqueta1a,etiqueta2,etiqueta2a,etiqueta3,etiqueta3a,etiqueta4,etiqueta4a,etiqueta5,etiqueta_final,id,necesidades operativas,texto
,no relevante,,,,positivo,,no relevante,,no relevante,5836,,No responde los llamados
,no relevante,,,,no relevante,,no relevante,,no relevante,5837,,"Llamada al 1554722404, al momento de llamar me indica que el número no corresponde a un abonado en servicio."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5838,,25/06 se contactó por mail al AM y se realizó derivación para atención psicológica a la Lic. Sofía Vazquez. Inicio de atención lunes 29/6-
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5839,,Retiré la caja de alimentos y le entregué dicha caja y art de limpieza.
,necesidades operativas,,,,no relevante,,neutral,,necesidades operativas,5840,,"Me llama a las 21 horas, porque la llamaron diciendo que eran del banco supervielle y que ella debía plata y que tenía que llamar a un número urgente antes de las 22 horas. Le di el teléfono de defensa del consumidor de Florida para que haga la denuncia."
,no relevante,,,,no relevante,,no relevante,,no relevante,5841,,No contestó la llamada
,no relevante,,,,no relevante,,no relevante,,no relevante,5842,,no contesta
,no relevante,,,,no relevante,,no relevante,,no relevante,5843,,LA LLAME A MARIA  Y LE DEJE EN EL CONTESTADOR
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5844,,No recibió la caja de alimentos en su domicilio como le informaron.
,no relevante,,,,no relevante,,neutral,,no relevante,5845,,"No tiene acceso a Internet, me logre comunicar y charlar un rato"
,positivo,,,,positivo,,positivo,,positivo,5846,,"me comunique en el dia de hoy, el señor pedro se encuentra bien."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5847,,"Nos informan desde Desarrollo Social, que ya esta disponible la bolsa de alimentos requerida . Coordinare con la Sra Toloza el envío"
,positivo,,,,positivo,,positivo,,positivo,5848,,Se encuentra bien
,no relevante,,,,neutral,,no relevante,,no relevante,5849,,Llame a Ana ALICIA Me atendió una de las hijas y me pidió que no la llame que ellas se ocupan y están atentas a a las necesidades de su madre
,positivo,,,,negativo,,positivo,,positivo,5850,,"Hoy hablé con Susana, me comentó  que extrañaba a sus nietas y que le mandó regalos. En general está bien de salud y ánimo exceptuando lo anterior. Hablamos sobre recetas y me contó lo que hacía en su día a día. Quedamos en hablar la semana que viene"
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5851,,"Le consulto a la AM si pudo hablar con Eva, me dijo que sí y que quedaron en que si todo sale bien el lunes ya puede ir a acompañarla. La AM pide si algún voluntario puede llamarla el lunes solamente para ver si pudo ir Eva; ya que este asunto es el que más la tiene preocupada. Me pregunta si tenemos podólogos, le indico que no pero que podemos ayudar a conseguir uno; busco en google y le paso el contacto de un podólogo en Olivos: Sergio Lemos 4794 -4358."
,necesidades operativas,,,,necesidades operativas,,positivo,,necesidades operativas,5852,,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5853,,"en el dia de la fecha me comunico con la señora mabel , la cual esta deacuerdo en mantener un dialogo conmigo.
tienen  resuelto sus problemas de medicamentos pero su hijo mayor mariano esta sin una medicación que no se la quieren dar , ya que ahora dicen que solo un psiquiatra se lo puede autorizar . por este motivo el señor mariano necesitaría un psiquiatra para que pueda evaluarlo y poder recetarle su medicamento faltante , el día lunes me comunicare  con el instituto marini.
por otro lado se solicita la caja de alimentos secos para ser entregada en el domicilio."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5854,,"Llamé para avisar que hoy le entregaban la caja de alimentos para Gerhard y para su mamá Matiasa Tapia. 
También me hizo el pedido de asistir a su amiga Susana Leiva a la cual su voluntaria no la llama más. Ya ingresé dicho pedido por mail."
,no relevante,,,,no relevante,,no relevante,,no relevante,5855,,no contesta el teléfono
,positivo,,,,positivo,,positivo,,positivo,5856,,"hoy hable con maria, ella esta bien. de buen animo. posiblemente mañana le lleve cosas que ella me pidio"
,positivo,,,,positivo,,positivo,,positivo,5857,,El día de hoy fue su hija a verla y le va a realizar algunas compras. está bien de ánimo.
,no relevante,,,,no relevante,,no relevante,,no relevante,5858,,"Llamo a AM y, en las 2 ocasiones , suena la llamada pero cortan la comunicación."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5859,,"tambien el am solicito medicamentos , ya fueron pedidos a traves del 147 .Aun no recibio la caja de alimentos."
,positivo,,,,positivo,,positivo,,positivo,5860,,Se encuentra bien
,no relevante,,,,no relevante,,no relevante,,no relevante,5861,,Llamado por telefono.El AM no se encontraba en su casa y no podía hablar. Se acordó llamar mañana.
,no relevante,,,,no relevante,,no relevante,,no relevante,5862,,No hay ninguna observación nueva
,no relevante,,,,no relevante,,no relevante,,no relevante,5863,,Sin novedad
,no relevante,,,,no relevante,,no relevante,,no relevante,5864,,Ninguna
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5865,,"Se comunica la Sra. Olga Basualdo x solicitarme que retire recetas por el domicilio de su doctora autorice las ordenes y le busque los medicamentos.
El dia jueves  25 retiro las recetas las autorizo y busco los medicamentos en una farmacia de San Isidro. Luego se los llevo a su domicilio."
,neutral,,,,no relevante,,neutral,,neutral,5866,,"Me hablo al wsapp YA QUE VIO A UN INDIGENTE durmiendo en la calle que siempre se encuentra ahí con su manta pero con los fríos que están haciendo ella quería ayudarlo a lo cual me pregunto si acá en vte lopez no realizaban campañas para los días mas fríos a lo que le dije que e quede tranquila que SIEMPRE SE REALIZAN CAMPAÑAS que es mas hoy en dia DEFENSA CIVIL SE ENCUENTRA PATRULLANDO las calles y haciendo entrega ya sea la vianda de comida o mantas para abrigo que siempre se les da la posibilidad del traslado a algún hogar pero que lamentablemente muchas veces estas personas no quieren abandonar la calle que sienten su lugar su casa, pero igualmente le facilite los números del 147 y que de allí la derivaban seguramente con el área que corresponda.
Me agradecio mucho"
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5867,,Se entrega material cognitivo en domicilio 24/7/20.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5868,,"La Sra Pauluk me avisó que ya recibió en su domicilio la caja de alimentos, muchas gracias."
,no relevante,,,,neutral,,neutral,,neutral,5869,,Fue una comunicación muy corta porque estaba haciendo un poco de limpieza salio a hacer mandados
,necesidades operativas,,,,necesidades operativas,,neutral,,necesidades operativas,5870,,"Me pidió asistirla con la computadora que se le desconectó y la usaba para mirar videos de Youtube como pasatiempo. Pero necesitaría tomar un colectivo para eso a pesar de no estar tan lejos, hay permisos que puedan habilitarme?"
,no relevante,,,,no relevante,,no relevante,,no relevante,5871,,"22/06 - Llamo a AM a 1545584835, pero sin respuesta alguna en la llamada pactada. Llamo nuevamente a AM unos minutos mas tarde, pero sin respuesta. Llamo nuevamente a AM 20:00 hs, sin respuesta alguna."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5872,,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,no relevante,,,,no relevante,,neutral,,no relevante,5873,,Se encontraba en la calle no podia hablar
,positivo,,,,positivo,,positivo,,positivo,5874,,La Señora Ana Slaukin y su esposo Guido se encuentra bien.
,neutral,,,,neutral,,negativo,,neutral,5875,,"mañana su nieta cumple un mes. Un poco triste por no verla pero charla por whatsapp y la ve con videollamada. La llamó la psicóloga la semana pasada. Hoy ya hicieron gimnasia y yoga ella y el marido, y se puso a buscar su caja de lápices para dibujar otra vez. Sigue escribiendo, cocinando cosas ricas, meditando y usando todas estas herramientas cuando no se siente tan bien, reconoce que tiene días mejores y otros más difíciles. Me manda fotos de sus nietos y de la bebé, me explica el significado del nombre, se entusiasma al hablar."
,no relevante,,,,no relevante,,no relevante,,no relevante,5876,,"Llamo a AM, pero sin respuesta alguna en dos ocasiones."
,no relevante,,,,no relevante,,no relevante,,no relevante,5877,,La llame varias veces durante el día pero me atiende el contestador.
,no relevante,,,,no relevante,,no relevante,,no relevante,5878,,"La sra no se encontraba, al tercer intento la ubiqué, estaba realizando controles médicos"
,no relevante,,,,no relevante,,no relevante,,no relevante,5879,,No responde a los llamados. El contestador indica que no esta disponible
,positivo,,,,positivo,,positivo,,positivo,5880,,animada
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5881,,"Aviso a la Sra. que el día 14 de Agosto le llevarán la caja de alimentos, a partir de las 14 hs."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5882,,"El día de la fecha recibí un llamado de voluntarios a raíz que Osvaldo no recibía los alimentos, lo llamó una Sra. Ester, pero Osvaldo recién 1/7 tiene que recibir los alimentos y también los de limpieza. Tramitaré para que se lo entreguen a domicilio ya q no le queda cerca y si no tiene quien lo lleve no puede retirarlos."
,positivo,,,,positivo,,positivo,,positivo,5883,,"Se encuentra bien, me comentó que está entretenida con la cocina y las tareas de la casa. No está interesada en realizar las actividades que ofrece el centro cultural."
,no relevante,,,,no relevante,,no relevante,,no relevante,5884,,El numero no corresponde a un abonado
,no relevante,,,,no relevante,,no relevante,,no relevante,5885,,llamado
,necesidades operativas,,,,necesidades operativas,,neutral,,necesidades operativas,5886,,"pide lugares para vacunarse porque en la farmacia no hay, tiene Pami"
,no relevante,,,,no relevante,,no relevante,,no relevante,5887,,Se llamo nuevamente pero sale el audio que el teléfono no es correcto o que ha sido desconectado
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5888,,Se le envía toda la información necesaria respecto de la asistencia alimentaria a la voluntaria vía mail.
,negativo,,,,no relevante,,no relevante,,no relevante,5889,,"Al llamar a Amparo, le empecé a contar sobre el programa pero no quiso hablar. Cortó la llamada. La noté apurada y nerviosa."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5890,,SE ENTREGO ALIMENTOS EN DOMICILIO 21/08/2020
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5891,,SE HABLO LE LLEVARON LA CAJA VIERNES  3/7/2020 A SU DLIO
,neutral,,,,negativo,,negativo,,negativo,5892,,"Logre comunicarme despues de varios intentos, el 5/5 volvio a ir al oculista , le dieron un nuevo medicamento, y hoy despues de una semana la quetatitis no sano . vOLVERA AL OCULISTA."
,positivo,,,,positivo,,neutral,,positivo,5893,,"hablé largo rato por telefono con la señora Monica y le gustó mucho y seguimos en contacto por Whatsapp, me dijo que recibió la tablet del municipio y estaba feliz y quiere hablar por Zoom con su hermano asi que veré de ayudarla a usarlo"
,positivo,,,,positivo,,positivo,,positivo,5894,,"se encuentra bien y agradece el llamado
saludos"
,positivo,,,,positivo,,positivo,,positivo,5895,,Bien de ánimo. recibió los alimentos.
,necesidades operativas,,,,negativo,,necesidades operativas,,necesidades operativas,5896,,"Me llamó el Lic. Carlos Rodríguez, me preguntó sobre la AM para tener un panorama sobre su situación y saber por dónde encarar el acompañamiento psicológico; me aclaró que NO es una sesión de psicoanálisis, sino más bien un acompañamiento para orientarla. -Hablo con AM, me cuenta que ya conversó con el psicólogo Carlos, le cayó bien y quedaron en que el miércoles 17/6 la va a llamar nuevamente. La AM está muy agradecida."
,positivo,,,,no relevante,,negativo,,negativo,5897,,"Hablamos de como esta su esposa, que esta mejor pero todavía no esta 100% recuperada"
,positivo,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5898,,solicite caja de alimentos y avise  se encuentra bien y de buen animo
,necesidades operativas,,,,necesidades operativas,,no relevante,,necesidades operativas,5899,,"Llamada al 4717-3144, la señora Mirta me informa que todavía nadie se puso en contacto con ella por el tema de las vacunas, ella es asmática y sufre del corazón. 
Me dice que no necesita ningún otro tipo de asistencia ya que está acompañada por sus hijos."
,positivo,,,,positivo,,neutral,,positivo,5900,,"MARIA DEL CARMEN BIEN, SALIO A PAGAR LOS IMPUESTOS Y OTROS SERVICIOS"
,necesidades operativas,,,,neutral,,necesidades operativas,,necesidades operativas,5901,,Me comunico varis veces cn la señora en la semana ya recibio su caja de alimentos!!
,positivo,,,,positivo,,positivo,,positivo,5902,,"La escuché muy bien. Estaba con el marido, la hija y un nieto. Suele concurrir al centro de la tercera edad, pero no tiene como participar de actividades por zoom o whatsapp ya que su celular no tiene datos y no tiene computadora. Me dijo que no necesita nada"
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5903,,SE ENTREGO ALIMENTOS EN DOMICILIO EL 24/07/2020
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5904,,SE ENTREGO CUADERNILLO COGNITIVA 1 EN DOMICILIO EL 07/08/2020
,positivo,,,,negativo,,negativo,,negativo,5905,,"con zulema solo me comunico a traves de maria, su hermana o de la ventana..a veces maria la pone en altavoz...pero habla poco x su enfermedad avanzada. ella esta bien asistida por su hermana"
,necesidades operativas,,,,no relevante,,necesidades operativas,,necesidades operativas,5906,,Retiré la caja para la sra. Se la entrego en si domicilio
,positivo,,,,no relevante,,positivo,,positivo,5907,,La Señora Beatriz Dib se encuentra bien.
,positivo,,,,positivo,,positivo,,positivo,5908,,Ayer me sorprendí. Seferino me llamó para decirme que está bien. Que no necesita nada. Comprendió que el haber apagado el teléfono el viernes provocó en mi una gran angustia y alboroté a todo el mundo.
,necesidades operativas,,,,no relevante,,neutral,,necesidades operativas,5909,,Hable con la Sra. Le conté lo que me dijeron de los medicamentos
,neutral,,,,neutral,,neutral,,neutral,5910,,Se mostró muy agradecida por el acompañamiento y hablamos de nuestras vidas en gral. Conversación muy amena y agradable que duró aprox 30 min.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5911,,Se entrega  Cuadernillo Estimulación Cognitiva  II en domicilio 21/8/20.
,necesidades operativas,,,,neutral,,necesidades operativas,,necesidades operativas,5912,,Se le designó al LIC RODRIGUEZ para apoyo psicológico
,positivo,,,,positivo,,positivo,,positivo,5913,,Se encuentra bien
,positivo,,,,neutral,,positivo,,positivo,5914,,"Aguirre Esther N. Están bien, muy cansada del encierro, pero bien. Igual el esposo, que se encarga de los mandados."
,no relevante,,,,no relevante,,no relevante,,no relevante,5915,,no contesta
,no relevante,,,,no relevante,,no relevante,,no relevante,5916,,Sin novedad
,neutral,,,,neutral,,neutral,,neutral,5917,,"Hemos hablado por casi dos horas hoy....
La anoté para las actividades C3 C8 y DDSS3."
,negativo,,,,negativo,,negativo,,negativo,5918,,La Señora MALATESTA Nélida hoy estaba dolorida haciendo reposo porque finalmente lo que tiene es una  hernia de disco que  fue diagnosticada por su médico.
,positivo,,,,positivo,,positivo,,positivo,5919,,"Bien de ánimo. La visita al médico es el jueves, se traslada  de Florida a Olivos con remis.l"
,positivo,,,,positivo,,positivo,,positivo,5920,,"Se encuentran muy bien, sin necesidades."
,no relevante,,,,no relevante,,neutral,,no relevante,5921,,Seguimos en comunicación con Lucia.
,positivo,,,,positivo,,positivo,,positivo,5922,,"vive sola. esta bien
quiere q la llame nuevamente"
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5923,,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020
,neutral,,,,neutral,,neutral,,neutral,5924,,Muy interesado en realizar curso de computación por Internet
,no relevante,,,,neutral,,neutral,,neutral,5925,,Charlamos sobre cómo estaban y si ya les había llegado las medias ortopédicas
,no relevante,,,,no relevante,,no relevante,,no relevante,5926,,No respondio al llamado.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5927,,EL 07/08/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,negativo,,,,negativo,,negativo,,negativo,5928,,"Me comunico siendo las 1730 horas. Me atiende Lidia. Me dice que se encuentra mejor de la tos, un poco dolorida la espalda. Fue al médico, no es nada grave. Se tiene que cuidar del frío. Con respecto a la cuarentena, me dice que se les está haciendo un poco pesada a ella y a su marido. Que a veces se hace difícil, que en 50 años de casados nunca discutieron tanto como ahora. Tambíen un poco preocupada por la situación de algunos de sus hijos, ya que con el tema laboral están teniendo inconvenientes, y son sostén de familia. Agradece el llamado, le hace bien conversar, quedamos en una nueva comunicación la semana próxima."
,no relevante,,,,no relevante,,neutral,,no relevante,5929,,Coordinamos llamado para la semana que viene.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5930,,Se entrega Alimentos en domicilio 14/8/20.
,positivo,,,,positivo,,positivo,,positivo,5931,,"09/05/- ANGELA BIEN DE SALUD, HOY ESTUBO DE JARDINERA RENOVANDO ALGUNAS PLANTAS.
10/05- ANGELA BIEN, FUE AL MERCADO A  COMPRAR AGUA A UNA CUADRA DE SU CASAY  A LA TARDE SE PREPARO UN BUDIN ESTABA ABURRIDA CHARLAMOS ELLA CUENTA CON DETALLE TODO LO QUE HACE."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5932,,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020
,positivo,,,,positivo,,positivo,,positivo,5933,,"Muy bien, contenta hablamos por el dia de los abuelos  refiere seguir bien con sus plantas y los vecinos que se ocupan de saber como esta, sin necesidades, no tiene celular ni computadora, quisiera una tablet"
,no relevante,,,,positivo,,no relevante,,no relevante,5934,,"Vive con la mujer y el hijo, se encuentra bien y no necesita que lo llamen."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5935,,SE ENTREGO MATERIAL COGNITIVA 2
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5936,,SE ENTREGO MATERIAL COGNITIVO 2 EN DOMICILIO 21/08/2020
,no relevante,,,,no relevante,,no relevante,,no relevante,5937,,no contesta el teléfono
,no relevante,,,,no relevante,,no relevante,,no relevante,5938,,Sin novedad
,positivo,,,,neutral,,positivo,,positivo,5939,,"Nos comunicamos la conversación fue fluida,  se siente bien sale a comprar maneja, se defiende a pesar que vive sola solo tiene cambiado el sueño solicito ser llamada despues del mediodia"
,no relevante,,,,no relevante,,neutral,,no relevante,5940,,Llamado realizado no pidió nada.
,positivo,,,,neutral,,positivo,,positivo,5941,,"Se encuentra Bien de salud, sgue acompañado,  tiene cubiertas necesidades básicas de alimentación y remedios."
,positivo,,,,positivo,,positivo,,positivo,5942,,"Nilda esta muy bien, sigue haciendo yoga, tambien hable con su marido Juan Carlos Staraz,estan muy bien los dos ,"
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5943,,Se entrego alimentos en domicilio el 08/07/2020
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5944,,Hablamos y quedé en gestionarle la nueva caja de alimentos para que se la lleven a dormir domicilio.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5945,,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,positivo,,,,positivo,,positivo,,positivo,5946,,Estan bien. Por el momento no necesitan nada. A veces salen a hacer las compras.
,no relevante,,,,neutral,,neutral,,neutral,5947,,llamado realizado no solicita nada.
,negativo,,,,negativo,,negativo,,negativo,5948,,Aguirre Esther Noemí.  Tiene problemas cardiológicos y está angustiada.  El martes va a ver si la pueden atender en el Hospital. El esposo bien.
,negativo,,,,positivo,,positivo,,positivo,5949,,se encuentran bien de animo extrañando a sus hijo y nietos pero muy comunicados con ellos que le hace mas facil todo y con contencion de sus hijos
,no relevante,,,,no relevante,,no relevante,,no relevante,5950,,Sin novedad
,no relevante,,,,no relevante,,no relevante,,no relevante,5951,,No ATENDIÓ EL LLAMADO TELEFÓNICO.
,positivo,,,,positivo,,positivo,,positivo,5952,,"Llamado de presentación, la persona se encuentra bien. Vive solo y sale a realizar las compras que necesita. Igualmente tiene personas que lo ayudan."
,neutral,,,,neutral,,neutral,,neutral,5953,,Con Hugo tenemos contacto frecuente x wsp hoy hablamos y de los cursos me indicó q van a esperar a enero x si vuelve la presencialidad
,negativo,,,,negativo,,positivo,,negativo,5954,,Se encuentra bien de salud. Aunque preocupada por la situación que se está viviendo.  Se pacta nuevo llamado para dentro de unos dias.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5955,,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.
,positivo,,,,positivo,,positivo,,positivo,5956,,HABLE CON LUISA  Y  ESTA HACIENDO BARBIJOS PARA LOS HIJOS TODO  BIEN
,negativo,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5957,,"Llamo al 1565111916, me indica que su hija no se pudo mudar con ella por el tema de los controles. Por otro lado, me dijo que ella ya no va a pasear más a la perra de su vecina ya que van a endurecer la cuarentena, por lo tanto, va a perder el único ingreso semanal que tiene. 
También, me dijo si es posible que le den otra caja de alimentos. Le digo que mañana voy a estar llamando a la municipalidad para coordinar ese tema."
,no relevante,,,,no relevante,,no relevante,,no relevante,5958,,LA LLAME A LUISA  Y LE DEJE EN EL CONTESTADOR
,no relevante,,,,no relevante,,neutral,,no relevante,5959,,"11/8 Llamé, el señor estaba descansando.  Hablé con la hija."
,necesidades operativas,,,,neutral,,necesidades operativas,,necesidades operativas,5960,,"Llamo a AM, en la llamada pactada del día de hoy a las 16:30, pero sin respuesta. 
 Llamo a AM, recibió la caja de alimentos y no requiere mas la asistencia. Esta muy agradecida con la ayuda que esta brindando la municipalidad."
,no relevante,,,,no relevante,,no relevante,,no relevante,5961,,no responde. contestador. linea claro
,positivo,,,,positivo,,positivo,,positivo,5962,,"Se encuentra bien. Me dijo que no va a hacer más Yoga porque se ""aburrió""."
,positivo,,,,neutral,,positivo,,positivo,5963,,"Se encuentra bien, no necesita nada. Alguna vez pidió la caja de alimentos pero ahora no la necesita."
,neutral,,,,neutral,,neutral,,neutral,5964,,"Llamo a la señora nuevamente lo hago una vez por semana ya que no necesita ayuda igual insisto.
Quedamos en la semana que viene volver a comunicarnos."
,no relevante,,,,no relevante,,no relevante,,no relevante,5965,,llamado
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5966,,"Recibia la caja a su domicilio, pero hace mas de un mes que no se la llevan."
,no relevante,,,,no relevante,,no relevante,,no relevante,5967,,El número de teléfono indica que no corresponde a un abonado en servicio. Llamado por la mañana.
,positivo,,,,positivo,,positivo,,positivo,5968,,Se encuentra muy bien
,positivo,,,,positivo,,positivo,,positivo,5969,,"Estaba muy bien, con mucha energía, aceptando esta situación que nos toca vivir. Esperando la tablet de ANSES, la pidió por su centro de jubilados."
,no relevante,,,,no relevante,,no relevante,,no relevante,5970,,llamado
,positivo,,,,positivo,,positivo,,positivo,5971,,Hoy estuvimos hablando un rato largo. Me contó que sale a comprar cada 15 días lo fundamental y luego a la verdulería o pescadería a veces. La noto muy bien. Esta acompañada por su perrito y lo saca a pasear 3 veces al día. Quedamos en hablar la semana que viene
,no relevante,,,,no relevante,,neutral,,no relevante,5972,,Estaba ocupada. No pude hablar con ella
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5973,,se entrega material cognitivo en domicilio 31/7/20.
,positivo,,,,positivo,,positivo,,positivo,5974,,Se encuentra bien. Cómo siempre hablamos de recetas.
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5975,,"Lidia está bién, mañana 3 de julio va a ir con su hija a retirar la caja. Sigue pidiendo por el colchón."
,positivo,,,,no relevante,,positivo,,positivo,5976,,Todo en orden
,positivo,,,,positivo,,positivo,,positivo,5977,,"Hablamos, me dijo q vio los videos de zumba que le paso la profe de los talleres.. y que se encontraba muy bien."
,no relevante,,,,no relevante,,no relevante,,no relevante,5978,,llamado para saber como estaba
,necesidades operativas,,,,necesidades operativas,,neutral,,necesidades operativas,5979,,"Hemos recibido la solicitud de tablet. En cuanto tengamos alguna novedad al respecto, nos estaremos comunicando. Saludos!"
,neutral,,,,no relevante,,neutral,,neutral,5980,,Tiene las dos vacunas
,neutral,,,,neutral,,neutral,,neutral,5981,,La llame al mediodía y estaba con su nieto con lo cual le dí lugar para que disfrute de ese momento.
,negativo,,,,necesidades operativas,,negativo,,negativo,5982,,"Toavía no se comunicaron del equipo de Psicología.
Super bien de la infección urinaria, pero súper bajoneada de ánimo.
Trato de distraerla con otros temas.
Necesita el apoyo psicológico."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5983,,"26/06/20 - Llamo a AM al 4760-4298, hablo con Mario, me comenta que se encuentra bien, agradece la caja de alimentos, llego al mediodía a eso de las 14 de la tarde. Su hijo que vive cerca le hace los mandados 1 vez por semana, pero con la caja lo ayudan bastante. Los agendo para la próxima entrega de la Caja de Alimenos. Les comento que posiblemente el Municipio también haga entrega de una caja de productos de Limpieza, si esto me lo confirman y les interesa también los tengo en cuenta a ellos, me dice que si. Les deseo un buen fin de semana y cortamos, les haré llamado la semana que viene."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5984,,Se entrega alimentos  en domicilio 24/7/20.
,no relevante,,,,no relevante,,no relevante,,no relevante,5985,,Telefono de linea no disponible - No contesto el celu
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5986,,"La señora me explico que no necesita acompañamiento telefónico pero si, necesita ayuda para retirar los remedios que le entregan en capital porque el hijo que generalmente los retira se encuentra con gripr aisla, envio mail para ayudarla con este tema"
,positivo,,,,positivo,,positivo,,positivo,5987,,Se encuentra bien
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5988,,DE ENTREGO ALIMENTOS EN DOMICILIO EL DIA 14/08/2020
,no relevante,,,,no relevante,,no relevante,,no relevante,5989,,La AM hasta el dia de la fecha aun no responde mis llamados telefonicos
,positivo,,,,positivo,,positivo,,positivo,5990,,"Se encuentra bien , muy animada , la llamaron de la Municipalidad por el tramite que habia iniciado"
,positivo,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5991,,"El AM se encuentra en buen estado ,hace trabajos de tipo carpintería en su casa lo mantiene entretenido y ocupado .solicita nuevamente la caja a domicilio por la voluntaria a cargo.estsdo general muy bueno."
,positivo,,,,positivo,,positivo,,positivo,5992,,"Se encuentra bien, esperando que el hijo la visite. Buen ánimo y nos comunicamos mucho, si no la llamo yo ella me llama. Está sola en el depto."
,positivo,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5993,,"Se encuentra bien. Me dijo que fue a buscar la bolsa de comida que da el Municipio. Estuvimos charlando un rato. Le comenté sobre los talleres de la Secretaría de Cultura, pero no tiene WhatsApp por lo que no puede participar."
,no relevante,,,,no relevante,,no relevante,,no relevante,5994,,no contesta el llamado seguire intentando
,positivo,,,,positivo,,positivo,,positivo,5995,,"Hable con Norma la mujer de Domingo, están bien los dos."
,positivo,,,,positivo,,positivo,,positivo,5996,,La Señora Beatríz Dib se encuentra bien.
,positivo,,,,neutral,,neutral,,neutral,5997,,"Esta bien asistida por los sobrinos, descansando porque no durmió bien en la noche, dice que las reacciones desmesuradas del gobernador la enojan, agradece el llamado."
,necesidades operativas,,,,necesidades operativas,,necesidades operativas,,necesidades operativas,5998,,"Estimada: el esposo deberá acercarse y anunciar que retirará en nombre de su mujer, quien se encuentra en el Programa Soy ParteVL para adultos mayores. Deberá ir, tal como se ha indicado en el mail enviado, con una nota autorizada y firmada por su esposa. Le sugerimos que se acerque a Yrigoyen 4848 y que cualquier inconveniente que tenga al respecto pregunte por Fabián. De esta manera, no deberá tener ningún problema. Saludos!"
,no relevante,,,,no relevante,,no relevante,,no relevante,5999,,Sin novedad
,positivo,,,,positivo,,positivo,,positivo,6000,,Como siempre charlamos un buen rato y me cuenta lo que hace en esta cuarentena. Se la oye bien y quedamos en hablar en la semana
,no relevante,,,,no relevante,,no relevante,,no relevante,6001,,no responde el llamado
