id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
4934,Realice la encuesta. Me consultó por la tablet que le dan a los jubilados. Quede en averiguarle y comentarle.,NECESIDADES OPERATIVAS,realice encuesta consulto tablet jubilados quede averiguarle comentarle,NEC_OP
4935,Sin novedad,NO RELEVANTE,novedad,NR
4936,a domicilio,NO RELEVANTE,domicilio,NR
4937,DE ENTREGO ALIMENTOS EN DOMICILIO EL DIA 14/08/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
4938,"Me comunico de manera telefónica con el voluntario. Se le informa que se realiza la derivación de atención psicológica de la adulta mayor.  A la brevedad, se comunicará un profesional.",NECESIDADES OPERATIVAS,comunico telefonica voluntario informa realiza derivacion atencion psicologica adulta brevedad comunicara profesional,NEC_OP
4939,Atiende contestador automatico,NO RELEVANTE,atiende contestador automatico,NR
4940,Se encuentra muy bien,POSITIVO,,R
4941,"MARIA DEL CARMEN BIEN EN EL NEGOCIO HAY POCAS VTAS.,  TIENE FALTANTE DE ALGUNOS ARTICULOS AL ESTAR TANTO TIEMPO CERRADO, SE PUSO  CONTACTO CON LOS PROVEEDORES PARA VER EL COSTO DE LOS MISMOS",NEGATIVO,carmen negocio vtas faltante articulos cerrado puso contacto proveedores costo,R
4942,bien de ánimo.,POSITIVO,animo,R
4943,Sin novedad,NO RELEVANTE,novedad,NR
4944,"23/07- ANGELA BIEN, CON ESTA HUMEDAD SE SIENTE CANSADA.
24/07- ANGELA AMANECIO UN POCO DOLORIDA ESTA CON CALMANTES, LE PASE LOS CURSOS PARA QUE VEA SI LE INTERESA",NEGATIVO,_digit_ _digit_- angela humedad siente cansada _digit_ _digit_- angela amanecio dolorida calmantes pase cursos vea interesa,R
4945,"Se le envía a la voluntaria, vía mail, información respecto de la Vacunación disponible. A su vez, se agrega otra información que puede ser de utilidad",NO RELEVANTE,envia voluntaria via mail informacion vacunacion disponible agrega informacion utilidad,NR
4946,La Señora Ana Slaukin se encuentra bien junto a su marido Guido.,POSITIVO,senora ana slaukin marido guido,R
4947,No contesto el llamado. Contestador indica que no se encuentra disponible.,NO RELEVANTE,contesto llamado contestador indica disponible,NR
4948,"todo muy bien, sin problemas",POSITIVO,problemas,R
4949,"intenté comunicarme varias veces el 22 y 23 de Julio pero el teléfono no funciona, da siempre tono como si estuviera ocupado, es el mismo teléfono al que me comunique las veces anteriores.",NO RELEVANTE,intente comunicarme _digit_ _digit_ julio telefono funciona tono ocupado telefono comunique anteriores,NR
4950,Pude comunicarme pero estaba en otra llamada. Vuelvo a llamar mañana.,NO RELEVANTE,pude comunicarme llamada vuelvo llamar manana,NR
4951,"Finalmente, pudo conseguir colocarse la vacuna, pero tuvo que dar miles de vueltas porque no había stock y eso la enojó bastante. Me dijo que deje asentado que en la salita Llobera de Villa Marteli están atendiendo muy mal a las personas y menciona que el Gobierno no está preparado para abastecer a la totalidad de los jubilados. Está muy molesta con toda la situación que tuvo que atravesar para conseguir la vacuna y con casos que tiene de conocidos. No estuvo de acuerdo con que le realice la encuesta.",NEGATIVO,finalmente colocarse vacuna vueltas stock enojo deje asentado salita llobera villa marteli atendiendo personas menciona gobierno preparado abastecer totalidad jubilados molesta situacion atravesar vacuna casos conocidos acuerdo realice encuesta,R
4952,Se encuentra bien,POSITIVO,,R
4953,SI BIEN CADA TANTO LOS ASISTEN VECINOS NECESITARÍAN UNA PERSONA QUE LE HAGA MANDADOS,NECESIDADES OPERATIVAS,asisten vecinos necesitarian persona haga mandados,NEC_OP
4954,Sigue diciendo Telecom informa que el núm. solicitado no corresponde a un abonado en servicio,NO RELEVANTE,diciendo telecom informa num solicitado corresponde abonado servicio,NR
4955,Sin novedad,NO RELEVANTE,novedad,NR
4956,Sin novedad,NO RELEVANTE,novedad,NR
4957,no contesta el teléfono .,NO RELEVANTE,contesta telefono,NR
4958,"En el día de ayer ya anoté en 2 actividades a Elsa, una recreativa y a un curso. Está muy entusiasmada por comenzar .",POSITIVO,anote _digit_ actividades recreativa curso entusiasmada comenzar,R
4959,"No necesita nada, se encuentra asistida y vivie con su hermana. Agradece la atención pero pero dice que no las necesita.",POSITIVO,necesita asistida vivie hermana agradece atencion necesita,R
4960,"Al comunicarme me informo que recibía la caja de alimento, también menciono que esta atravesando un momento difícil ya que la hija se encuentra con una enfermedad que le afecta a las diferentes partes del cuerpo como pulmones y no le pueden detectar el foco, por esta razón Maria Victoria se esta haciendo cargo de sus dos nietos. Me pidió ayuda para conseguir un turno con un reumatologo y también ayuda para conseguir unas mesas y sillas porque no tienen donde comer. Nosotros podemos derivarla a asistencia social?

Saludos",NEGATIVO,comunicarme recibia caja alimento atravesando dificil hija enfermedad afecta partes cuerpo pulmones detectar foco razon victoria cargo nietos pidio ayuda turno reumatologo ayuda mesas sillas comer derivarla asistencia social saludos,R
4961,no contesta,NO RELEVANTE,contesta,NR
4962,"La AM esta el cuidado de su hija .ha solicitado la caja de alimentos  ,se le entregaron en su domicilio por el equipo de voluntarios  AM  .",NECESIDADES OPERATIVAS,am cuidado hija solicitado caja alimentos entregaron domicilio equipo voluntarios am,NEC_OP
4963,"Tuve el 1er llamado con la hija, por que es su número, me dijo que iba a verificar mis datos y contarle a su mamá, así yo la llamaba",NO RELEVANTE,_digit_er llamado hija numero iba verificar datos contarle mama llamaba,NR
4964,se encuentra bien. le mando los ejercicios cognitivos por whatsapp.,POSITIVO,mando ejercicios cognitivos whatsapp,R
4965,Todo en orden,POSITIVO,orden,R
4966,Está triste porque el hermano falleció la semana pasada. Está en contacto con una psicóloga y un psiquiatra que la están acompañando.,NEGATIVO,triste hermano fallecio semana contacto psicologa psiquiatra acompanando,R
4967,"Se le envía toda la información necesaria respecto de la asistencia alimentaria a la voluntaria, vía mail.",NECESIDADES OPERATIVAS,envia informacion necesaria asistencia alimentaria voluntaria via mail,NEC_OP
4968,La sra reclama con urgencia la entrega de la caja de alimentos y limpieza,NECESIDADES OPERATIVAS,reclama urgencia entrega caja alimentos limpieza,NEC_OP
4969,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020,NECESIDADES OPERATIVAS,entrego material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
4970,Llaméa Susana para ver como estaba. Me dice q estan bien y que no necesita nada. Que no hace falta que la llame. Le volví a pasar mi nro para que me contacte si necesita algo,POSITIVO,llamea susana necesita falta llame volvi pasar nro contacte necesita,R
4971,Primer contacto. Necesita un voluntario que la asista con las compras alimenticias por el barrio.,NECESIDADES OPERATIVAS,contacto necesita voluntario asista compras alimenticias barrio,NEC_OP
4972,Llamado para charlar un rato,NO RELEVANTE,llamado charlar rato,NR
4973,se realiza una atención coordinada con seguimiento psicologico.,NECESIDADES OPERATIVAS,realiza atencion coordinada seguimiento psicologico,NEC_OP
4974,se hablo con el marido esta todo bien,POSITIVO,hablo marido,R
4975,no le interesa el llamado puede manejarse bien sola,NO RELEVANTE,interesa llamado manejarse,NR
4976,Se entrego alimentos en domicilio el 08/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
4977,Se entrego alimentos en domicilio el 08/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
4978,"muy buen humor,  contenta de que la llame",POSITIVO,humor contenta llame,R
4979,Llamado para avisar que en el día de mañana recibirá la caja de alimentos.,NECESIDADES OPERATIVAS,llamado avisar manana recibira caja alimentos,NEC_OP
4980,Continúa dando el contestador.,NO RELEVANTE,continua dando contestador,NR
4981,"Se encuentra muy bien. De buen humor, hablando con sus hijos y nietos.
Esta preocupada por no poder ir a la peluqueria, asi que muy probablemente la semana que viene se anime a hacerse la tintura ella.",POSITIVO,humor hablando hijos nietos preocupada peluqueria probablemente semana viene anime hacerse tintura,R
4982,"Hoy recibí un llamado del voluntariado avisandome que le avise a la señora que leiba a llegar los alimentos o cual me sorprendió porque en dos meses e llamado nunca quiso atender y cuando accedió siempre me dijo  no necesitaba nada y que se encontraba contenida.  por suerte me atienede de buen humor y me agradece siempre...entonces la llamé para preguntarle si ella habia tenido contacto con alguien y  me dijo que su vecina que es una voluntaría le había comentado lo de los alimentos y que le mostró lo que repartía y entonces me dijo que esos alimentos les venían bien porque era bueno y de la marca que usa ella (duraznos, yerba etc) Entre nosotros siempre le explique cual era nuestro trabajo pero se negaba a la ayuda. y accedió porque les venía bien. y me dijo que ella podía ir a buscarlos porque sale cuando necesita.",NECESIDADES OPERATIVAS,recibi llamado voluntariado avisandome avise senora leiba llegar alimentos sorprendio meses llamado quiso atender accedio necesitaba encontraba contenida suerte atienede humor agradece llame preguntarle contacto alguien vecina voluntaria comentado alimentos mostro repartia alimentos venian marca duraznos yerba explique trabajo negaba ayuda accedio venia podia buscarlos sale necesita,NEC_OP
4983,MARIA DEL CARMEN BIEN PREOCUPADA POR LA APERTURA CON LOS  CONTAGIADOS QUE HAY EN PROVINCIA,NEGATIVO,carmen preocupada apertura contagiados provincia,R
4984,"23/06 - Llamo a AM a me comenta que en el día de ayer, su celular no funcionaba por eso no lo podía usar. Me indica que hizo muchas llamadas, en una de esas a PAMI y le indicaron que si no hay síntomas no están haciendo isopados. Ella recordó, que no tenia síntomas y se lo fue a hacer de forma privada y le dio positivo. Me comenta que ella tiene a su marido, que es de riesgo que no presenta sintomas pero que no tiene las vacunas. Me comenta que en la Farmacia cercana a su casa la Vasallo, ella se dio las vacunas y va a seguir llamando para que le indiquen si tienen stock o no de las vacunas.
Lo que me comenta en el medio de la charla, es que ella no puede salir de su departamento, porque tiene que tener un permiso para circular (que se da después de los 14 días posteriores a COVID-Positivo)Me comenta que lo estaba gestionando con una chica de la municipalidad llamada Valeria y su numero es el 1524631017. 
Le comento que voy a pasar toda esta información a la municipalidad, que ella vea la disponibilidad en la Farmacia y pactamos una llamada para el día de hoy pero mas a la tarde. 
Le comento la respuesta por parte de la municipalidad, que su petición de Vac a Domicilio de todas formas, fue pasado nuevamente al sector correspondiente. 
Agradece por la gestión, y finaliza la llamada. 

Llamo a AM nuevamente, pero esta en llamada luego corta y comienza a hablar conmigo. Informo las indicaciones recibidas del Municipio, brindo los números de contacto indicados para que se pueda comunicar. Le indico como podemos proceder a través de la aplicación Cuidar, para que le puedan dar el permiso para circular. 
Luego me comenta un poco acerca de los estudios en su Universidad, para demostrarme porque no es buena con la computadora y con otros dispositivos. Le informo que la podría ayudar a bajar la aplicación sin ningun problema.
Me indica que la llame al 4711-3806, en 10 minutos, para poder ayudarla a bajar la aplicación cuidar en su teléfono celular.
 
Llamo a AM a 4711-3806, da ocupado. 
Llamo nuevamente a AM, me responde bajamos la aplicación y procedemos a completar todos los datos, tardamos mas de 1 hora y 30 minutos pero pudo completar todos los datos de la aplicación. Cuenta con el permiso hasta el 25/06. Recibe un llamado de un medico que antes solicito para que le den el certificado, le indico que lo va a llamar en unos instantes y me comenta que el medico le va a dar el certificado para el viernes.
Agradece por toda la atención y finaliza la llamada.",NECESIDADES OPERATIVAS,_digit_ _digit_ - llamo am comenta celular funcionaba podia indica llamadas pami indicaron sintomas isopados recordo sintomas forma privada positivo comenta marido riesgo presenta sintomas vacunas comenta farmacia cercana casa vasallo vacunas seguir llamando indiquen stock vacunas comenta charla salir departamento permiso circular _digit_ posteriores covid-positivo comenta gestionando chica municipalidad llamada valeria numero _digit_ pasar informacion municipalidad vea disponibilidad farmacia pactamos llamada respuesta municipalidad peticion vac domicilio formas nuevamente sector correspondiente agradece gestion finaliza llamada llamo am nuevamente llamada corta comienza hablar indicaciones recibidas municipio brindo numeros contacto indicados comunicar proceder aplicacion cuidar puedan permiso circular comenta acerca estudios universidad demostrarme computadora dispositivos ayudar bajar aplicacion problema indica llame _digit_-_digit_ _digit_ minutos ayudarla bajar aplicacion cuidar telefono celular llamo am _digit_-_digit_ ocupado llamo nuevamente am responde bajamos aplicacion procedemos completar datos tardamos _digit_ hora _digit_ minutos completar datos aplicacion permiso _digit_ _digit_ recibe llamado medico solicito den certificado llamar instantes comenta medico certificado viernes agradece atencion finaliza llamada,NEC_OP
4985,"Cambiar genero a femenino- Esta tranquila, mira tele, vive con 2 hijos- Me pidio telefono de PAMI para averiguar de recetas..se lo di..accedio a que la llamara la semana que viene",NECESIDADES OPERATIVAS,cambiar genero femenino- tranquila mira tele vive _digit_ hijos- pidio telefono pami averiguar recetas di accedio llamara semana viene,NEC_OP
4986,La señora Adela esta con su marido en su casa y la estan pasando muy bien.,POSITIVO,senora adela marido casa pasando,R
4987,Charlamos por whatsapp estan muy bien,POSITIVO,charlamos whatsapp,R
4988,"Bien de ánimo, pero preocupada pues su nuera se repone de int.  quirúrgica de urgencia  y la de ella fue postergada para agosto.",NEGATIVO,animo preocupada nuera repone int quirurgica urgencia postergada agosto,R
4989,"Desde la Secretaría me contactaron para poder hablar con el AM respecto de las tres actividades que están por lanzar, para averiguar si están interesados en participar o no. Silvia me confirmó que la anote en dibujo y pintura.",NEUTRAL,secretaria contactaron hablar am actividades lanzar averiguar interesados participar confirmo anote dibujo pintura,NR
4990,"Me contó que el dentista el otro día le saco la muela y que ahora aparentemente se le hizo una infección así que estaba aguardando que le hablara para ver si tiene que volver a ir, se siente dolorida pero esta tomando medicamentos  trata de llevar los días lo mejor posible a veces el dolor se hace insoportable pero bueno tiene fe que ahora que ya se hizo ver por el dentista comience a mejorar hablamos media hora y la deje tranquila ya que le costaba hablar y dolía mas, me agradeció estar siempre atenta me pedía perdón por no poder tener una charla mas extensa como solemos tener a lo que le dije que ni me tenia que pedir perdón que cualquier cosa seguíamos conversando por wsapp ya que ella lo usa y cada tanto me envía alguna canciones  de amor o temas muy lindos y me dijo que si que dale y que mas tarde me hablaba por ahi para contarme si tuvo suerte con el dentista.
Quedamos en hablar el 20/05",NEGATIVO,conto dentista saco muela aparentemente infeccion aguardando hablara volver siente dolorida tomando medicamentos posible dolor insoportable fe dentista comience mejorar hablamos media hora deje tranquila costaba hablar dolia agradecio atenta pedia perdon charla extensa solemos dije pedir perdon cosa seguiamos conversando wsapp envia canciones temas lindos hablaba contarme suerte dentista quedamos hablar _digit_ _digit_,R
4991,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
4992,Lucia esta animada pero me conto que la jubilación no les alcanza asi que voy a solicitarle la ayuda del bolsón,NECESIDADES OPERATIVAS,animada conto jubilacion alcanza solicitarle ayuda bolson,NEC_OP
4993,El nro solictado no corresponde a un abonado en servicio. 0114795-6715.,NO RELEVANTE,nro solictado corresponde abonado servicio _digit_-_digit_,NR
4994,No contesta. El celular da contestador automáticamente y el número fijo parece estar incorrecto.,NO RELEVANTE,contesta celular contestador automaticamente numero fijo incorrecto,NR
4995,"María Rosa se encuentra en una situación complicada dado que cortaron el suministro de gas en su edificio por una obra que se estaba realizando en un departamento dentro del mismo. Necesita URGENTEMENTE ella y todos los vecinos que el municipio se encargue de restaurar el gas para que pueda cocinar, bañarse y utilizar la estufa.",NEGATIVO,rosa situacion complicada cortaron suministro gas edificio obra realizando departamento necesita urgentemente vecinos municipio encargue restaurar gas cocinar banarse utilizar estufa,R
4996,"llame 3 veces seguidas, por si no llegaba la primera, y  no constesto el telefono",NO RELEVANTE,llame _digit_ seguidas llegaba constesto telefono,NR
4997,Se lo escucho bien de animo. Hablamos de todo un poco y me contó como la paso el día del padre.,POSITIVO,escucho animo hablamos conto paso padre,R
4998,Se realiza la derivación correspondiente para la obtención de medicamentos a la Dirección de Atención Primaria de Salud.,NECESIDADES OPERATIVAS,realiza derivacion correspondiente obtencion medicamentos direccion atencion primaria salud,NEC_OP
4999,"Solo envio Mensajes , cuando puede me atiende, queda pendiente la encuesta.",NO RELEVANTE,envio mensajes atiende queda pendiente encuesta,NR
5000,Lo llamé para ver como estaba su esposa. El se encuentra bien a la espera del parte médico de su mujer.,NEGATIVO,llame esposa espera medico mujer,R
5001,Sin novedad,NO RELEVANTE,novedad,NR
5002,Esta muy bien,POSITIVO,,R
5003,segunda dosis de vacuna neumonia quiere saber donde aplicarsela,NECESIDADES OPERATIVAS,dosis vacuna neumonia aplicarsela,NEC_OP
5004,La Señora Ana Slaukin se encuentra bien junto a su marido.,POSITIVO,senora ana slaukin marido,R
5005,"Esta muy animada , el cirujana la vio le pidio unos estudios y le dijo que pronto le haria la intervencion para quitarle la verruguita",POSITIVO,animada cirujana vio pidio estudios haria intervencion quitarle verruguita,R
5006,el teléfono no estaría funcionando. Hace ruido extraño no de llamada (e intentado vs. dias),NO RELEVANTE,telefono funcionando ruido extrano llamada intentado vs,NR
5007,"No me tendió nadie, pero luego me llamo ella. Me dijo que la llame al celular, porque el tel de línea es de una vecina.",NEUTRAL,tendio llamo llame celular linea vecina,NR
5008,SE ENTREGO ALIMENTOS EN DOMICILIO EL DÍA 24/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
5009,"Vuelvo a encontrarme con el mensaje que ""el celular no puede recibir llamados""",NO RELEVANTE,vuelvo encontrarme mensaje celular recibir llamados,NR
5010,"me comunique con norma, ella esta asistida por su hija, no se comunica mucho . no planteo ninguna necesidad urgente",NEUTRAL,comunique asistida hija comunica planteo necesidad urgente,NR
5011,Sin novedad,NO RELEVANTE,novedad,NR
5012,Hablamos de que sigue con frío. Pero bien.,POSITIVO,hablamos frio,R
5013,Sin novedad,NO RELEVANTE,novedad,NR
5014,"Hablé con Lina. Se encuentran bien. Estos días se le pasaron rápido, haciendo cosas en la casa. Está muy enganchada con las clases de acuarela ( viernes de 10 a 12). Aprendió a hacer tinturas caseras para teñir telas y puntillas.  Los profes del centro de jubilados le envían actividades para hacer.",POSITIVO,hable encuentran pasaron rapido casa enganchada clases acuarela viernes _digit_ _digit_ aprendio tinturas caseras tenir telas puntillas profes centro jubilados envian actividades,R
5015,"NO CONTESTA. SALTA DIRECTO EL CONTESTADOR
HOY VIERNES 22/5  ME COMUNIQUE  CON ELLA , QUEDAMOS QUE HABLAMOS LA SEMANA QUE VIENE",NO RELEVANTE,contesta salta directo contestador viernes _digit_ _digit_ comunique quedamos hablamos semana viene,NR
5016,"He hablado con Julio nuevamente, se encuentra bien, tiene contacto con su familia y hemos quedado para una comunicación posterior con el. A su vez, es preocupante el estado en el que está el trámite con PAMI que le permitiría cambiar la batería para poder paliar el parkinson.",NEGATIVO,hablado julio nuevamente contacto familia quedado comunicacion posterior preocupante tramite pami permitiria cambiar bateria paliar parkinson,R
5017,Llame varias veces y no atendieron el telefono,NO RELEVANTE,llame atendieron telefono,NR
5018,"sin contestar
saludos",NO RELEVANTE,contestar saludos,NR
5019,-,NO RELEVANTE,-,NR
5020,"No contesta. Ayer olvidé registrar la acción, pero tampoco pude comunicarme. Una de las veces anteriores dejé un mensaje de voz, ahora la casilla de mensajes figura como que está llena.",NO RELEVANTE,contesta olvide registrar accion pude comunicarme anteriores deje mensaje voz casilla mensajes figura llena,NR
5021,pedido,NO RELEVANTE,pedido,NR
5022,"Después de llenar la ficha integral me mencionó que está mal porque necesita ver a su médico se cabecera el cual no le da bolilla y en el hospital Vicente López la atendieron muy mal, perdió sus turnos con el cardiólogo y endocrinologo y dice que necesita saber si la medicación que está tomando es la correcta ya que le dieron los nuevos resultados de los análisis de sangre. En definitiva se encuentra muy preocupada por su salud.",NEGATIVO,llenar ficha integral necesita medico cabecera bolilla hospital vicente lopez atendieron perdio turnos cardiologo endocrinologo necesita medicacion tomando correcta resultados analisis sangre definitiva preocupada salud,R
5023,"me conto q vive con su hija y esta asistida x ellla 
dice q esta bien y no necesita nada",POSITIVO,conto vive hija asistida ellla necesita,R
5024,"hable con mirta y su esposo están bien, abrieron el negocio con todas las medidas en el barrio ceibo, vienen respetando la cuarentena",POSITIVO,hable esposo abrieron negocio medidas barrio ceibo vienen respetando cuarentena,R
5025,"Me contó que ayer trasnocho por que se quedo viendo una serie y se quedo hasta las 4 am sin darse cuenta, le comente que la iba a estar llamando de zoonosis por el tema de las ratas así que se puso muy contenta y me agradeció mucho por ayudarla me hablo de su vida conversamos 45 min",POSITIVO,conto trasnocho viendo serie _digit_ am darse comente iba llamando zoonosis tema ratas puso contenta agradecio ayudarla hablo vida conversamos _digit_,R
5026,Saber como se sentia esta realizando una presentacion darle animo etc,NO RELEVANTE,sentia realizando presentacion darle animo,NR
5027,"Pareja de Sr. Dorado, con quien no pude contactar cada vez que llamé, refiere que el esta disgustado con estos llamados. Motivo, que no le dieron caja de alimentos en H. Yrigoyen. Pide que no llame mas porque se la agarra con ella.",NO RELEVANTE,pareja sr dorado pude contactar llame refiere disgustado llamados motivo caja alimentos yrigoyen pide llame agarra,NR
5028,Está bien y espera el bolsón de comida que  le lleven a su casa.,NECESIDADES OPERATIVAS,espera bolson comida lleven casa,NEC_OP
5029,Tiene ayuda de sus 2 hijos. Agradeció el llamado. No va a necesitar que la llamemos. Informa que no había recibido llamados anteriores.,NO RELEVANTE,ayuda _digit_ hijos agradecio llamado necesitar llamemos informa recibido llamados anteriores,NR
5030,EL 07/08/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
5031,"Se realizo comunicacion, se ofrecio Programa de Ajedrez pero no estuvo interesada.",NEUTRAL,comunicacion ofrecio programa ajedrez interesada,NR
5032,Se entrego alimentos en domicilio el 08/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
5033,"Indica que ella y su marido no cuentan con ningún problema de salud, tampoco requieren la asistencia. Brindo numero de contacto, agradece y finaliza la llamada.",NECESIDADES OPERATIVAS,indica marido cuentan problema salud requieren asistencia brindo numero contacto agradece finaliza llamada,NEC_OP
5034,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
5035,HABLE  CON LUISA Y ESTA MUY BIEN,POSITIVO,hable luisa,R
5036,No responde el telefono,NO RELEVANTE,responde telefono,NR
5037,HABLE CON SALVADOR ESTA BIEN,POSITIVO,hable salvador,R
5038,"Llamo nuevamente, pero no puedo comunicarme porque está ocupada. Luego, me llamó ella y estuvimos conversando.",NO RELEVANTE,llamo nuevamente comunicarme ocupada llamo conversando,NR
5039,"ANGELA BIEN, FUE A LA FARMACIA A RETIRAR LA MEDICACION, ALMORZO CARNE AL HORNO",POSITIVO,angela farmacia retirar medicacion almorzo carne horno,R
5040,Sin novedad,NO RELEVANTE,novedad,NR
5041,Le indique como es el nuevo protocolo para acceder a la caja de alimentos.,NECESIDADES OPERATIVAS,indique protocolo acceder caja alimentos,NEC_OP
5042,estan muy bien .llamo la semana proxima,POSITIVO,llamo semana proxima,R
5043,"Virginia se siente mejor ya no tan deprimida , nos hablamos dos veces por semana",NEGATIVO,virginia siente deprimida hablamos semana,R
5044,"Este informe es del 16-6 a las 12.09 hs hago la carga por no haber  tenido  disponible la computadora antes.
La Señora Ana Slaukin y su marido se encuentran bien.",POSITIVO,informe _digit_-_digit_ _digit_ _digit_ hs carga disponible computadora senora ana slaukin marido encuentran,R
5045,"Enviado por whatsapp:
Si es afiliado a PAMI, tienen que consultar en las farmacias, les van entregando periódicamente algunas farmacias hacen un listado y se van comunicando.
En las UAP, es parecida la situación tienen que acercarse y hacer la consulta.
Te paso farmacias de PAMI, que pueden consultar por teléfono

Vacunación:   
Si el paciente es PAMI, tiene que realizar la consulta al 138. (previa llamada a su médico de cabecera para que obtenga la orden digital) En el 138 le indicarán turnos según finalización de número de su DNI. También le podrán indicar en qué farmacias hay disponible la vacuna y según el caso hasta ofrecer vacunación a domicilio. IOMA idem como explico más arriba.
Adjunto listado de farmacias PAMI también.
https://www.pami.org.ar/tramitesonline 
https://www.pami.org.ar/saberesprevenir",NECESIDADES OPERATIVAS,enviado whatsapp afiliado pami consultar farmacias entregando periodicamente farmacias listado comunicando uap parecida situacion acercarse consulta paso farmacias pami consultar telefono vacunacion pami consulta _digit_ previa llamada medico cabecera obtenga orden digital _digit_ indicaran turnos finalizacion numero dni indicar farmacias disponible vacuna caso ofrecer vacunacion domicilio ioma idem adjunto listado farmacias pami https www pami org ar tramitesonline https www pami org ar saberesprevenir,NEC_OP
5046,No podía hablar porque estaba esperando un llamado médico. Quedamos en que la vuelvo a llamar mañana.,NO RELEVANTE,podia hablar esperando llamado medico quedamos vuelvo llamar manana,NR
5047,"Realice llamados sin respuesta alguna,volveré a intentar durante la semana",NO RELEVANTE,realice llamados respuesta volvere semana,NR
5048,"La AM me cuenta que estuvo muy decaída estos últimos dos días; la contengo y acompaño. Me pregunta por la caja de alimentos, le indico que es cada 15 días automáticamente, seguro que mañana va a llegar, le digo que esperemos y que sino hacemos el reclamo. Agradece.",NEGATIVO,am decaida dias; contengo acompano pregunta caja alimentos _digit_ automaticamente seguro manana llegar digo esperemos reclamo agradece,R
5049,"Está bien, lavando con poca agua caliente, lo hace hoy porque hay un poco de sol, muy buena charla, contenta por el llamado y esta amistad.",POSITIVO,lavando agua caliente sol charla contenta llamado amistad,R
5050,he solicitado mediante mail a medicamentos2020 segun nuevas directivas,NECESIDADES OPERATIVAS,solicitado mail medicamentos_digit_ directivas,NEC_OP
5051,"Esta bien, terminando de almorzar con la nuera, se cuida del frío, la nuera la cuída y tuvimos una muy agradable charla.",POSITIVO,terminando almorzar nuera cuida frio nuera cuida agradable charla,R
5052,Hablo con AM y con Ines. Están justo con una vecina arreglando una mesa. Quedamos en hablar a la tarde para hacer la encuesta.,NEUTRAL,hablo am justo vecina arreglando mesa quedamos hablar encuesta,NR
5053,EL 07/08/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
5054,"Estimada: según el nuevo protocolo enviado, deberá canalizar todas las solicitudes que se posean comunicandose con el 147. Gracias y saludos!",NECESIDADES OPERATIVAS,estimada protocolo enviado debera canalizar solicitudes posean comunicandose _digit_ saludos,NEC_OP
5055,envié la invitación de la charla del Intendente y el Dr. Cormillot por whatsapp.,NO RELEVANTE,envie invitacion charla intendente dr cormillot whatsapp,NR
5056,Se encuentra bien,POSITIVO,,R
5057,"No actualice los llamado porque perdi el papel donde lo anotaba cuando el sistema no andaba. Sigue muy bien, me conto que sale a comprar la comida y va a la farmacia. se vacuna ma;ana en una farmacia cerca de su casa.",POSITIVO,actualice llamado perdi papel anotaba sistema andaba conto sale comprar comida farmacia vacuna ma;ana farmacia casa,R
5058,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
5059,Resultó ser un muy amena llamada.,NO RELEVANTE,resulto llamada,NR
5060,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
5061,Nuevo intento de contacto. No responde,NO RELEVANTE,contacto responde,NR
5062,Sin novedad,NO RELEVANTE,novedad,NR
5063,"bie, tuvo un episodio de salud lo describió  como una hemorragia, se comunicó con el 107 no obtuvo respuesta, si con el 911 que respondieron a la brevedad, fue atendido en la Maternidad Santa Rosa muy bien.",NEGATIVO,bie episodio salud describio hemorragia comunico _digit_ obtuvo respuesta _digit_ respondieron brevedad atendido maternidad santa rosa,R
5064,"Siguiendo con el acompañamiento, la sra. María se encuentra muy bien de salud y ánimo...",POSITIVO,siguiendo acompanamiento salud animo,R
